Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
ADAMTS20	2	1	1	3	4	8
ADAMTS3	1	3	3	0	2	4
ADAMTS4	29.3641	43.0878	56.5367	66.0834	63.7594	34.0819
ADAMTS5	6	2	6	11	9	9
ADAMTS6	4	4	5	7	9	9
ADAMTS7	20	7	12	10.5186	8.54157	5
ADAMTS8	1	1	5	18	1	5
ADAMTS9	3	1	6	4	4	4
ADAMTS9-AS2	2	0	1	1	0	2
ADAMTSL1	3	0	4.000001	9	8	5
ADAMTSL2	12.4313	12.35705	34.626	34.708	24.3235	25.2256
ADAMTSL3	8	0	2	7	6	2
ADAMTSL4	9	15.99997	31.99997	19	33	5
ADAMTSL5	37.2889	34.7347	49.6496	45.4122	70.9813	43.2379
ADAP1	259	234	299	456	290	165
ADAP2	26.3897	25.6718	49.2177	36.8383	52.2027	26.1174
ADAR	1857.5590520658	1623.8698	2280.0496	2595.207594986	2589.9765	1282.28489979
ADARB1	81.2293	103.5067	73.45067	173.9174	69.84661901	55.1193
ADARB2	17.3315	15.2761	61.7746	62.9549	31.4529	27.6298
ADARB2-AS1	1	3	2	1	1	0
ADAT1	224.64	207.266	320.4803	406.0038	363.1149	189.4916
ADAT2	95.7871	99.5014	101.651	134.243	158.152	85.0195
ADAT3	9	19.2221	12	25	13	8.10049
ADC	19	16	35	11	53	16
ADCK1	50	25	52	44.0000000150898	50	56.0000118129
ADCK2	94	83	58	103	76	36
ADCK3	112	107	251	118	370	128
ADCK4	221.9997	227.0004	183.9999	264	232	147
ADCK5	229	328	197	393	254	137
ADCY1	20.3385	16.7159	47.0012	39.7895	39.1149	22.4897
ADCY10	2	3	5	6	3	6
ADCY10P1	16.3348	4.07637	24.0545	14.5034	36.6154	10.1678
ADCY2	24.4491	21.1377	27.8426	24.83	39.4257	26.3272
ADCY3	245.702	229.985	198.406	469.148	225.54	261.231
ADCY4	3.000003	2.999996	10	8	6	6
ADCY5	5	8	15	5.99999944	15.00003	5
ADCY6	23.0236	19.6668	52.0513	89.2183	46.6969	30.3671
ADCY7	1546	1263	1595	1450	2277	794
ADCY8	1	0	2	5	4	3
ADCY9	60	40	43	47	44	36
ADCYAP1	0	0	1	1	0	1
ADCYAP1R1	12.3450577065	8.382500728	18.804101042361	14.584106398	22.14792374	8.4402317278
ADD1	1049.9992	906.00003	1375.00358	1420.000015	1605.0008	634.9998
ADD2	0	6	2	12	8	12
ADD3	614.54108	430.000100462734	1070.6642	736.3988	2004.417	612.7691
ADGB	1	0	2	2	5	2
ADH1A	0	0	1	0	1	2
ADH1B	0	0	0	0	1	0
ADH1C	0	0	0	2	1	1
ADH4	44.3777	53.1648	96.9896	95.177	107.669	56.5595
ADH5	759	808	704	1077	824	430
ADH6	0	0	3	3	4	3
ADH7	1	1	0	1	2	0
ADHFE1	37	17	64	42	85	28
ADI1	806	787	515	1055	434	317
ADIG	0	0	1	0	3	0
ADIPOQ	44.288	25.1138	52.9749104972	59.9185	86.5513	47.686098583
ADIPOQ-AS1	43.908	28.9886	60.5267	66.5104	84.5102	45.74
ADIPOR1	1261.9995	1471.0034	1585.9956	1929.997	1931.0042	1061.0015
ADIPOR2	122	126	154	197	195	101
ADIRF	1	1	1	2	2	1
ADK	118	181.9995	144.00035	268.9999	183.0002	125
ADM	1	0	2	2	0	0
ADM2	78.7483	90.5285	65.268	207.5061	77.1997	71.7792
ADM5	7	7	15	22	14	9
ADNP	171	151	228.9999	176.0002	282.9996	95
ADNP2	181	139	139	233	199	89
ADO	175	185	159	260	202	185
ADORA1	0	0	4	7	1	0
ADORA2A	18	52.5495	38.3184	80.7007	51	21
ADORA2A-AS1	13.45197	11.71821	34.27705	26.17821	32.0372	22.98279
ADORA2B	23.9589	11.8692	38.195	29.2346	25.4749	37.6264
ADORA3	3	1	10	3	5	4
ADPGK	797.0059	838.6252	1179.976	1100.538	1474.936	597.4535
ADPGK-AS1	21.9941	8.37515	21.0243	12.4611	19.0605	10.555
ADPRH	209	171	252	426	156	128
ADPRHL1	1	2	4	1	2	3
ADPRHL2	468	578	485	1025	524	275
ADPRM	27	23	47	51	51	30
ADRA1A	9.07194	12.1817	15.91	19.35933	14.1346	7.86068
ADRA1B	1	0	0	2	3	2
ADRA1D	0	0	3	4	2	0
ADRA2A	0	2	2	3	2	0
ADRA2B	0	2	4	9	0	4
ADRA2C	1	2	1	2	0	0
ADRB1	13.8909	5.65609	11	15.3681	14	8
ADRB2	190	34	609	71	1395	210
ADRB3	11.2046	2.46487	11.2551	14.7968	8.53447	8.29569
ADRBK1	2092	2109	2257	3495	2601	1301
ADRBK2	94.6776	92.3035	109.608	186.497	114.989	99.7725
ADRM1	2362.003	2759.999	2235.996	4144.004	2732.998	1639
ADSL	999.9996	1134	908.0002	1701.9956	954.0003	549.9997
ADSS	805	797	618	954	781	471
ADSSL1	4	5	13	5	3	2
ADTRP	0	1	1	5	2	1
AEBP1	23	1	36	10	35	17
AEBP2	283.9997	265.99981	315.7851	325.0003	362.9998	224.41013
AEN	549	513	569	904	860	467
AES	605.0001	493.0001	808.0002	751.9995	1052.9993	326.0004
AFAP1	16	4	13	22.315	61.5842	44.5308
AFAP1-AS1	18	10	35	43.7746	39.5313	35.5011
AFAP1L1	8.00181	7	14.0004	10.0005	13.0003	9.01257
AFAP1L2	844	1900.998	423.0001	2048.997	187.0004	353
AFF1	255.089	209.612	272.414	348.721	311.4108	156.1841
AFF2	4	13.00000843	11.9999885128	10	17.000002	12
AFF3	139.2202	108.24	139.2294	115.8622	169.3457	77.59964
AFF4	279	274	371	322	434	252
AFG3L1P	281.6432	292.4204	286.4577	394.0525	393.0926	245.2093
AFG3L2	350	372	366	484	446	239
AFM	0	0	0	3	6	2
AFMID	65.7123	62.13347944	87.38573606	135.8678	90.179769	58.957429066
AFP	0	1	0	4	3	6
AFTPH	163.9999	162.9997	240.9998471	280.999600025606	364	167.9998
AGA	116.0005	129.99981	159.0001	184.00005	181	65
AGAP1	15.000000149261	12.00000267327	55.05465	18.01358	107.0002620312	18.000000636573
AGAP11	2.32525	3.50959	13.8625	3.99154	1.17376	5.82499
AGAP2	388.7862	353.929	350.79182	570.0002	443.9186	237.9071
