Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ABHD2	2260.545	447.7651	499.0034	988.377	580.7695	828.5	612.672	662.428	707.783	1125.602	458.1772	495.8513	525.6171	643.9744	852.2052
ABHD3	374	154	144	260	164	139	225	200	338	128	97	199	205	193	127
ABHD4	461	32	51	104	54	85	57	69	41	135	145	49	70	145	212
ABHD5	118.54	62	126	223.252	47.2796	57.3559	97.4845	65	131	37.1891	30.2166	64	72.4173	129	38
ABHD6	39	4	11	3	8	10	21	18	25	7	11	10	8	19	11
ABHD8	112	38	35	108	95	41	38	50	102	72	45	64	69	93	59
ABI1	893.999518388	148.99967	80.00006	350.99949	175.99998586	261.99981	225.999951	205.000200016411	211.9997	229.999704	315.00025	217.00001	189.9997	277.0002	599.00034213634
ABI2	472.963	166.373	151.782	334.109	147.014	138.52	230.073	166.234	336.354	194.597	134.961	225.206	196.483	242.071	171.611
ABI3	2488.869	1420.6671	1946.4889	2737.8906	519	844.4445	1991.0834	2432.701	2821.156	1017.2288	911.759	2314.4779	2486.391	3618.188	1328.4027
ABI3BP	1	1	5	4	4	4	3	3	0	2	4	1	1	2	4
ABL1	492	63	181	266.9996	55	61	130	158.9997	182.9995	86	109	95	88	133.99976	159
ABL2	269.12461	50.640429116781	107.932418	108.5411165	75.691539446203	66.9709541	66.2758277141	85.5137143	114.203977	83.9824220098868	86.555753	89.880304	63.470768	119.06305	137.58883
ABLIM1	1196.31235	36.7724	26	119.804294	269	462.5637	116.069568	52	160.0841	562.7661	966.00022	143.2698	129.087464	197.09334	1707.09739
ABLIM2	17.000048133	3.000000265	2.0000040776	11.0000001007	7	3.000003798	6	4.00000197	4	0	6	4.000000734	8	6	6.000000212
ABLIM3	0	4	1	0	3	3	2	1	0	5	4	4	2	0	1
ABO	3	2	2	1	1	2	0	0	0	3	1	0	1	2	1
ABP1	15	0	0	0	1	0	1	0	0	0	6	3	2	2	0
ABR	753.0003	165.0004	225.00003	410.9994	120.9996	281.0004	366	447.99987	424.9997	436	351	320.0005	381.9996	531.0005	585.9998304492
ABRA	37.0396	9.75266	7.52376	22.0786	6.61096	8.73762	13.8911	7.08763	17.576	12.8086	11.5787	9.37446	11.675	23.7467	14.8765
ABRACL	672	258	367	534	215	332	645	631	789	380	280	481	646	647	346
ABT1	1023	544	546	1194	305	333	588	724	744	411	276	524	560	726	460
ABTB1	1062	71	118.000000050175	235.0001	265	267	68	135	142.000000540816	408.9996	510.9999	147	137	206.0002	783
ABTB2	128	122	142	296	106	53	92	112	117	96	29	90	114	160	63
ACAA1	2026.996	500.0003	927	1363	572.0001	451.0002	810.0001	933	1123	883.9998	492.9992	780.0007	680.0003	1059	758.9993
ACAA2	2410	1660	1920	3539	807	660	2061	2336	2598	1098	679	1471	1661	2127	820
ACACA	266.7243	135.3490112185	313.76742	384.8356	101.90659	74.47222	224.55287	211.6679339354	249.4270474934	154.83797	67.38835	216.63945752174	197.4652074828	218.11160753679	134.96256
ACACB	177.774	21.0008	29.2782	27.5219	79.6843	30.4282	38.15	28.1765	17.3688	43.4918	40.5129	28.8159	41.4087	80.6517	77.656
ACAD10	661	84	114	296	122	101	102	121.00048	185	243	189.0002	133	97	125.0001	243.0004
ACAD11	317.442	44.7366	91.6221	158.493	74.3306	72.6915	89.6929	58.1475	97.8448	106.869	70.9388	38.7576	62.988	88.3004	128.867
ACAD8	350	135	123	311	121	121	203	174	312	254	139	157	196	199	151
ACAD9	553	313.0001	408.9995	679	269.0005	299.0001	524.9996	536.9996	697.0004	365.0005	143.0003	321.9997	360.9999	437	238.0004
ACADL	5	0	1	5	1	2	1	1	2	3	0	0	7	0	2
